run_id,harness,architecture_family,total_citations,supported_citations,unsupported_citations,evidence_supported_rate,evidence_status
deterministic_n25_2026_05_03,deterministic_baseline,clinical_nlp_baseline,,,,,not_reported
exect_lite_n25_2026_05_03,exect_lite_cleanroom_baseline,clinical_nlp_baseline,,,,,not_reported
exect_v2_external_pending_n25_2026_05_03,exect_v2_external_baseline,clinical_nlp_baseline,,,,,not_reported
direct_full_contract_n25_gold_seeded_2026_05_03,direct_full_contract,direct_llm,,,,,not_reported
direct_evidence_contract_n25_gold_seeded_2026_05_03,direct_evidence_contract,direct_llm,25,23,2,0.92,reported
retrieval_field_extractors_n25_gold_seeded_2026_05_03,retrieval_field_extractors,retrieval_field_pipeline,,,,,not_reported
clines_epilepsy_modular_n25_gold_seeded_2026_05_03,clines_epilepsy_modular,clines_inspired_modular,,,,,not_reported
clines_epilepsy_verified_n25_gold_seeded_2026_05_03,clines_epilepsy_verified,clines_inspired_modular,,,,,not_reported
matrix_gpt-5_4-mini-2026-03-17_direct_full_contract,direct_full_contract,direct_llm,,,,,not_reported
matrix_gpt-5_4-mini-2026-03-17_direct_evidence_contract,direct_evidence_contract,direct_llm,329,321,8,0.9756838905775076,reported
matrix_gpt-5_4-mini-2026-03-17_retrieval_field_extractors,retrieval_field_extractors,retrieval_field_pipeline,,,,,not_reported
matrix_gpt-5_4-mini-2026-03-17_clines_epilepsy_modular,clines_epilepsy_modular,clines_inspired_modular,,,,,not_reported
matrix_gpt-5_4-mini-2026-03-17_clines_epilepsy_verified,clines_epilepsy_verified,clines_inspired_modular,,,,,not_reported
matrix_gpt-5_5-2026-04-23_direct_full_contract,direct_full_contract,direct_llm,,,,,not_reported
matrix_gpt-5_5-2026-04-23_direct_evidence_contract,direct_evidence_contract,direct_llm,448,434,14,0.96875,reported
matrix_gpt-5_5-2026-04-23_retrieval_field_extractors,retrieval_field_extractors,retrieval_field_pipeline,,,,,not_reported
matrix_gpt-5_5-2026-04-23_clines_epilepsy_modular,clines_epilepsy_modular,clines_inspired_modular,,,,,not_reported
