run_id,harness,architecture_family,status,dataset_id,dataset_n,field_family,coverage_status,partial_contract
deterministic_n25_2026_05_03,deterministic_baseline,clinical_nlp_baseline,supporting,synthetic_data_subset_1500,25,seizure_frequency,implemented,true
deterministic_n25_2026_05_03,deterministic_baseline,clinical_nlp_baseline,supporting,synthetic_data_subset_1500,25,current_medications,not_implemented,true
deterministic_n25_2026_05_03,deterministic_baseline,clinical_nlp_baseline,supporting,synthetic_data_subset_1500,25,investigations,not_implemented,true
deterministic_n25_2026_05_03,deterministic_baseline,clinical_nlp_baseline,supporting,synthetic_data_subset_1500,25,seizure_classification,not_implemented,true
deterministic_n25_2026_05_03,deterministic_baseline,clinical_nlp_baseline,supporting,synthetic_data_subset_1500,25,epilepsy_classification,not_implemented,true
deterministic_n25_2026_05_03,deterministic_baseline,clinical_nlp_baseline,supporting,synthetic_data_subset_1500,25,rescue_medication,not_implemented,true
deterministic_n25_2026_05_03,deterministic_baseline,clinical_nlp_baseline,supporting,synthetic_data_subset_1500,25,other_therapies,not_implemented,true
deterministic_n25_2026_05_03,deterministic_baseline,clinical_nlp_baseline,supporting,synthetic_data_subset_1500,25,comorbidities,not_implemented,true
deterministic_n25_2026_05_03,deterministic_baseline,clinical_nlp_baseline,supporting,synthetic_data_subset_1500,25,associated_symptoms,not_implemented,true
exect_lite_n25_2026_05_03,exect_lite_cleanroom_baseline,clinical_nlp_baseline,supporting,synthetic_data_subset_1500,25,seizure_frequency,implemented,true
exect_lite_n25_2026_05_03,exect_lite_cleanroom_baseline,clinical_nlp_baseline,supporting,synthetic_data_subset_1500,25,current_medications,partial,true
exect_lite_n25_2026_05_03,exect_lite_cleanroom_baseline,clinical_nlp_baseline,supporting,synthetic_data_subset_1500,25,investigations,partial,true
exect_lite_n25_2026_05_03,exect_lite_cleanroom_baseline,clinical_nlp_baseline,supporting,synthetic_data_subset_1500,25,seizure_classification,partial,true
exect_lite_n25_2026_05_03,exect_lite_cleanroom_baseline,clinical_nlp_baseline,supporting,synthetic_data_subset_1500,25,epilepsy_classification,partial,true
exect_lite_n25_2026_05_03,exect_lite_cleanroom_baseline,clinical_nlp_baseline,supporting,synthetic_data_subset_1500,25,rescue_medication,not_attempted,true
exect_lite_n25_2026_05_03,exect_lite_cleanroom_baseline,clinical_nlp_baseline,supporting,synthetic_data_subset_1500,25,other_therapies,not_attempted,true
exect_lite_n25_2026_05_03,exect_lite_cleanroom_baseline,clinical_nlp_baseline,supporting,synthetic_data_subset_1500,25,comorbidities,not_attempted,true
exect_lite_n25_2026_05_03,exect_lite_cleanroom_baseline,clinical_nlp_baseline,supporting,synthetic_data_subset_1500,25,associated_symptoms,not_attempted,true
exect_v2_external_pending_n25_2026_05_03,exect_v2_external_baseline,clinical_nlp_baseline,supporting,synthetic_data_subset_1500,25,seizure_frequency,implemented,true
exect_v2_external_pending_n25_2026_05_03,exect_v2_external_baseline,clinical_nlp_baseline,supporting,synthetic_data_subset_1500,25,current_medications,implemented,true
exect_v2_external_pending_n25_2026_05_03,exect_v2_external_baseline,clinical_nlp_baseline,supporting,synthetic_data_subset_1500,25,investigations,implemented,true
exect_v2_external_pending_n25_2026_05_03,exect_v2_external_baseline,clinical_nlp_baseline,supporting,synthetic_data_subset_1500,25,seizure_classification,implemented,true
exect_v2_external_pending_n25_2026_05_03,exect_v2_external_baseline,clinical_nlp_baseline,supporting,synthetic_data_subset_1500,25,epilepsy_classification,partial,true
exect_v2_external_pending_n25_2026_05_03,exect_v2_external_baseline,clinical_nlp_baseline,supporting,synthetic_data_subset_1500,25,rescue_medication,not_attempted,true
exect_v2_external_pending_n25_2026_05_03,exect_v2_external_baseline,clinical_nlp_baseline,supporting,synthetic_data_subset_1500,25,other_therapies,not_attempted,true
